Run 1.3T,/////////////,Polar L,/////////////,Polar R,/////////////
545.9304,0.41615,545.9304,0.41057,545.9304,0.40429
545.9306,0.41586,545.9306,0.4108,545.9306,0.40428
545.9308,0.4165,545.9308,0.41052,545.9308,0.40415
545.931,0.41644,545.931,0.41094,545.931,0.40413
545.9312,0.4169,545.9312,0.41057,545.9312,0.40431
545.9314,0.41772,545.9314,0.41106,545.9314,0.40413
545.9316,0.41832,545.9316,0.4111,545.9316,0.40408
545.9318,0.41866,545.9318,0.41065,545.9318,0.40416
545.932,0.41918,545.932,0.41068,545.932,0.4041
545.9322,0.42028,545.9322,0.41081,545.9322,0.404
545.9324,0.42024,545.9324,0.4102,545.9324,0.40395
545.9326,0.41999,545.9326,0.41042,545.9326,0.40391
545.9328,0.42024,545.9328,0.4106,545.9328,0.40402
545.933,0.42055,545.933,0.41001,545.933,0.40403
545.9332,0.42069,545.9332,0.41001,545.9332,0.40396
545.9334,0.42169,545.9334,0.41008,545.9334,0.40389
545.9336,0.42133,545.9336,0.41024,545.9336,0.40398
545.9338,0.42112,545.9338,0.4098,545.9338,0.40395
545.934,0.42196,545.934,0.40993,545.934,0.40396
545.9342,0.42126,545.9342,0.41017,545.9342,0.40404
545.9344,0.42197,545.9344,0.41018,545.9344,0.40389
545.9346,0.42138,545.9346,0.41008,545.9346,0.40384
545.9348,0.42075,545.9348,0.41058,545.9348,0.40383
545.935,0.42043,545.935,0.41062,545.935,0.40384
545.9352,0.42104,545.9352,0.41055,545.9352,0.40394
545.9354,0.42073,545.9354,0.411,545.9354,0.40391
545.9356,0.42013,545.9356,0.41077,545.9356,0.40401
545.9358,0.42003,545.9358,0.41165,545.9358,0.40388
545.936,0.41982,545.936,0.4116,545.936,0.40395
545.9362,0.41962,545.9362,0.41219,545.9362,0.40399
545.9364,0.41891,545.9364,0.41215,545.9364,0.40393
545.9366,0.41829,545.9366,0.4127,545.9366,0.40402
545.9368,0.41811,545.9368,0.41219,545.9368,0.40387
545.937,0.41826,545.937,0.41296,545.937,0.40406
545.9372,0.41779,545.9372,0.41349,545.9372,0.40395
545.9374,0.41642,545.9374,0.41344,545.9374,0.40392
545.9376,0.41649,545.9376,0.41397,545.9376,0.40406
545.9378,0.4163,545.9378,0.41393,545.9378,0.40389
545.938,0.41609,545.938,0.41415,545.938,0.40399
545.9382,0.41639,545.9382,0.41389,545.9382,0.40415
545.9384,0.41613,545.9384,0.4136,545.9384,0.404
545.9386,0.41557,545.9386,0.41445,545.9386,0.40399
545.9388,0.41499,545.9388,0.41406,545.9388,0.40412
545.939,0.41537,545.939,0.41432,545.939,0.40389
545.9392,0.41525,545.9392,0.41428,545.9392,0.40401
545.9394,0.41512,545.9394,0.41396,545.9394,0.40398
545.9396,0.41523,545.9396,0.41373,545.9396,0.40391
545.9398,0.4153,545.9398,0.41364,545.9398,0.4041
545.94,0.41477,545.94,0.41402,545.94,0.40398
545.9402,0.41479,545.9402,0.41284,545.9402,0.40418
545.9404,0.41519,545.9404,0.41334,545.9404,0.40396
545.9406,0.41519,545.9406,0.41345,545.9406,0.40402
545.9408,0.41506,545.9408,0.41277,545.9408,0.40399
545.941,0.41571,545.941,0.41281,545.941,0.40409
545.9412,0.41532,545.9412,0.41255,545.9412,0.4041
545.9414,0.41537,545.9414,0.41184,545.9414,0.40416
545.9416,0.41591,545.9416,0.412,545.9416,0.40415
545.9418,0.41525,545.9418,0.41172,545.9418,0.40408
545.942,0.41561,545.942,0.41147,545.942,0.40411
545.9422,0.41535,545.9422,0.41098,545.9422,0.40419
545.9424,0.41616,545.9424,0.41069,545.9424,0.40404
545.9426,0.416,545.9426,0.41023,545.9426,0.40429
545.9428,0.41576,545.9428,0.41052,545.9428,0.40418
545.943,0.41572,545.943,0.41063,545.943,0.40456
545.9432,0.41596,545.9432,0.41023,545.9432,0.40421
545.9434,0.41595,545.9434,0.40982,545.9434,0.40442
545.9436,0.41579,545.9436,0.40988,545.9436,0.40423
545.9438,0.41554,545.9438,0.40994,545.9438,0.40425
545.944,0.41556,545.944,0.41017,545.944,0.40437
545.9442,0.41518,545.9442,0.40999,545.9442,0.40436
545.9444,0.41547,545.9444,0.40998,545.9444,0.40452
545.9446,0.41453,545.9446,0.41012,545.9446,0.40452
545.9448,0.4148,545.9448,0.40963,545.9448,0.40447
545.945,0.41458,545.945,0.40968,545.945,0.40459
545.9452,0.41402,545.9452,0.40975,545.9452,0.40458
545.9454,0.41434,545.9454,0.41006,545.9454,0.40466
545.9456,0.41358,545.9456,0.40945,545.9456,0.40493
545.9458,0.41324,545.9458,0.4097,545.9458,0.40471
545.946,0.41391,545.946,0.41033,545.946,0.40491
545.9462,0.4132,545.9462,0.40978,545.9462,0.40474
545.9464,0.41297,545.9464,0.40984,545.9464,0.40485
545.9466,0.4133,545.9466,0.40953,545.9466,0.40514
545.9468,0.41267,545.9468,0.40948,545.9468,0.40533
